Index,State,Field_No.,FieldCount,Year,Lat,Long,total_Gol_pos,total_Pod_pos,Gamb_pos_only,Gamb_pmac_pos,Negative,
1,OR,OR-1,1,2021,44.47218847,-123.1013008,18,0,TRUE,FALSE,FALSE,
2,OR,OR-1,33,2022,45.07122694,-122.4521656,0,0,FALSE,FALSE,TRUE,
3,OR,OR-10,10,2021,45.26212908,-123.0753741,54,8,FALSE,TRUE,FALSE,
4,OR,OR-10,42,2022,44.71422855,-123.4936563,0,0,FALSE,FALSE,TRUE,
5,OR,OR-11,11,2021,44.59261666,-122.6904189,0,0,FALSE,FALSE,TRUE,
6,OR,OR-11,43,2022,45.3775554,-122.4100927,0,0,FALSE,FALSE,TRUE,
7,OR,OR-12,12,2021,45.09322768,-122.9493048,0,0,FALSE,FALSE,TRUE,
8,OR,OR-12,44,2022,45.40856213,-122.4828589,27,0,TRUE,FALSE,FALSE,
9,OR,OR-13,13,2021,45.03687112,-122.9672014,18,2,FALSE,TRUE,FALSE,
10,OR,OR-13,45,2022,44.0521,-123.129283,0,0,FALSE,FALSE,TRUE,
11,OR,OR-14,14,2021,44.09223305,-123.0518187,0,0,FALSE,FALSE,TRUE,
12,OR,OR-15,15,2021,43.14325974,-123.2720919,9,2,FALSE,TRUE,FALSE,
13,OR,OR-15,47,2022,43.90385043,-123.0524694,0,0,FALSE,FALSE,TRUE,
14,OR,OR-16,16,2021,43.14404681,-123.2905677,0,0,FALSE,FALSE,TRUE,
15,OR,OR-16,48,2022,45.28028472,-122.7510364,3,0,TRUE,FALSE,FALSE,
16,OR,OR-17,17,2021,44.27314245,-122.4235185,0,0,FALSE,FALSE,TRUE,
17,OR,OR-17,49,2022,43.87148456,-122.8127117,0,0,FALSE,FALSE,TRUE,
18,OR,OR-18,18,2021,45.50178106,-122.3807353,0,0,FALSE,FALSE,TRUE,
19,OR,OR-18,50,2022,44.26664953,-123.2106773,0,0,FALSE,FALSE,TRUE,
20,OR,OR-19,19,2021,45.27397275,-122.2226556,36,18,FALSE,TRUE,FALSE,
21,OR,OR-19,51,2022,45.09406473,-122.9090602,9,0,TRUE,FALSE,FALSE,
22,OR,OR-2,2,2021,42.27013651,-122.5527128,0,0,FALSE,FALSE,TRUE,
23,OR,OR-2,34,2022,44.59271427,-122.6907003,18,0,TRUE,FALSE,FALSE,
24,OR,OR-20,20,2021,45.1008109,-122.4333307,0,0,FALSE,FALSE,TRUE,
25,OR,OR-20,52,2022,44.23448003,-120.9216499,0,0,FALSE,FALSE,TRUE,
26,OR,OR-21,21,2021,45.09369831,-122.3324349,18,0,TRUE,FALSE,FALSE,
27,OR,OR-21,53,2022,44.23451771,-120.9250657,0,0,FALSE,FALSE,TRUE,
28,OR,OR-22,22,2021,44.25255802,-120.9688614,0,0,FALSE,FALSE,TRUE,
29,OR,OR-22,54,2022,45.72767812,-119.8482681,0,0,FALSE,FALSE,TRUE,
30,OR,OR-23,23,2021,44.12136563,-121.2513229,0,0,FALSE,FALSE,TRUE,
31,OR,OR-23,55,2022,45.70976456,-119.8390917,0,0,FALSE,FALSE,TRUE,
32,OR,OR-24,24,2021,45.86859727,-119.5477519,0,0,FALSE,FALSE,TRUE,
33,OR,OR-24,56,2022,45.71789819,-119.8559783,0,0,FALSE,FALSE,TRUE,
34,OR,OR-25,25,2021,45.8828704,-119.5480255,0,0,FALSE,FALSE,TRUE,
35,OR,OR-26,26,2021,45.87920082,-119.5437511,0,0,FALSE,FALSE,TRUE,
36,OR,OR-27,27,2021,42.24194174,-122.7302345,0,0,FALSE,FALSE,TRUE,
37,OR,OR-28,28,2021,42.29295877,-123.0614471,0,0,FALSE,FALSE,TRUE,
38,OR,OR-29,29,2021,42.34126732,-122.9490835,0,0,FALSE,FALSE,TRUE,
39,OR,OR-3,3,2021,45.0707162,-122.451798,0,0,FALSE,FALSE,TRUE,
40,OR,OR-3,35,2022,45.5017272,-122.3809088,0,0,FALSE,FALSE,TRUE,
41,OR,OR-30,30,2021,42.32299365,-122.9329486,0,0,FALSE,FALSE,TRUE,
42,OR,OR-31,31,2021,42.04202376,-123.6246412,0,0,FALSE,FALSE,TRUE,
43,OR,OR-32,32,2021,42.56018,-123.0850495,0,0,FALSE,FALSE,TRUE,
44,OR,OR-4,4,2021,44.46340635,-123.1646093,32,18,FALSE,TRUE,FALSE,
45,OR,OR-4,36,2022,45.09406631,-122.9090166,8,2,FALSE,TRUE,FALSE,
46,OR,OR-5,5,2021,44.53055973,-123.1345874,9,1,FALSE,TRUE,FALSE,
47,OR,OR-5,37,2022,44.27327434,-122.4233224,18,2,FALSE,TRUE,FALSE,
48,OR,OR-6,6,2021,45.28041926,-122.7504698,5,1,FALSE,TRUE,FALSE,
49,OR,OR-6,38,2022,45.37775926,-122.4283961,18,0,TRUE,FALSE,FALSE,
50,OR,OR-7,7,2021,45.28031216,-122.7507687,1,0,TRUE,FALSE,FALSE,
51,OR,OR-7,39,2022,45.37781088,-122.4288534,0,0,FALSE,FALSE,TRUE,
52,OR,OR-8,8,2021,45.09409006,-122.9090634,19,3,FALSE,TRUE,FALSE,
53,OR,OR-8,40,2022,45.12336932,-123.0368787,14,4,FALSE,TRUE,FALSE,
54,OR,OR-9,9,2021,44.41288252,-123.1318539,1,0,TRUE,FALSE,FALSE,
55,OR,OR-9,41,2022,45.44982623,-122.2845489,0,0,FALSE,FALSE,TRUE,
56,WA,WA-1,1,2021,46.30071076,-119.5157011,0,0,FALSE,FALSE,TRUE,
57,WA,WA-1,13,2022,46.39029875,-120.4320041,0,0,FALSE,FALSE,TRUE,
58,WA,WA-10,10,2021,46.27003297,-120.0035475,0,0,FALSE,FALSE,TRUE,
59,WA,WA-12,12,2021,46.28977852,-119.7307197,0,0,FALSE,FALSE,TRUE,
60,WA,WA-2,2,2021,46.39029673,-120.4320504,0,0,FALSE,FALSE,TRUE,
61,WA,WA-2,14,2022,46.22631033,-120.1259627,0,0,FALSE,FALSE,TRUE,
62,WA,WA-3,3,2021,46.530622,-120.3144066,0,0,FALSE,FALSE,TRUE,
63,WA,WA-3,15,2022,46.3298647,-120.3675989,0,0,FALSE,FALSE,TRUE,
64,WA,WA-4,4,2021,46.21959566,-119.9725436,0,0,FALSE,FALSE,TRUE,
65,WA,WA-4,16,2022,46.32993837,-120.3593542,0,0,FALSE,FALSE,TRUE,
66,WA,WA-5,5,2021,46.32856676,-120.4398562,0,0,FALSE,FALSE,TRUE,
67,WA,WA-5,17,2022,46.35026714,-120.1545006,0,0,FALSE,FALSE,TRUE,
68,WA,WA-6,6,2021,46.36669529,-120.1856114,0,0,FALSE,FALSE,TRUE,
69,WA,WA-6,18,2022,46.53072966,-120.3142243,0,0,FALSE,FALSE,TRUE,
70,WA,WA-7,7,2021,46.35024847,-120.1541344,0,0,FALSE,FALSE,TRUE,
71,WA,WA-7,19,2022,46.27006007,-120.0035859,9,1,FALSE,FALSE,TRUE,# the positives here were convienence samples
72,WA,WA-8,8,2021,46.22617284,-120.1259825,0,0,FALSE,FALSE,TRUE,
73,WA,WA-8,20,2022,46.28980231,-119.7296737,0,0,FALSE,FALSE,TRUE,
74,WA,WA-9,9,2021,46.29854617,-119.7192301,0,0,FALSE,FALSE,TRUE,
