,State,Field_No.,FieldCount,Year,Lat,Long,total_Gol_pos,total_Pod_pos,Gamb_pos_only,Gamb_pmac_pos,Negative,
1,OR,OR-1,1,2021,44.47331373,-123.0804234,18,0,TRUE,FALSE,FALSE,
2,OR,OR-1,33,2022,45.06836979,-122.4351394,0,0,FALSE,FALSE,TRUE,
3,OR,OR-10,10,2021,45.26788083,-123.0748831,54,8,FALSE,TRUE,FALSE,
4,OR,OR-10,42,2022,44.70948501,-123.5018677,0,0,FALSE,FALSE,TRUE,
5,OR,OR-11,11,2021,44.59050189,-122.678888,0,0,FALSE,FALSE,TRUE,
6,OR,OR-11,43,2022,45.37412426,-122.4249562,0,0,FALSE,FALSE,TRUE,
7,OR,OR-12,12,2021,45.09623864,-122.9735732,0,0,FALSE,FALSE,TRUE,
8,OR,OR-12,44,2022,45.41746325,-122.4857184,27,0,TRUE,FALSE,FALSE,
9,OR,OR-13,13,2021,45.03147747,-122.9724564,18,2,FALSE,TRUE,FALSE,
10,OR,OR-13,45,2022,44.05953042,-123.1418611,0,0,FALSE,FALSE,TRUE,
11,OR,OR-14,14,2021,44.08688336,-123.0297676,0,0,FALSE,FALSE,TRUE,
12,OR,OR-15,15,2021,43.14182263,-123.2734646,9,2,FALSE,TRUE,FALSE,
13,OR,OR-15,47,2022,43.89591474,-123.0757054,0,0,FALSE,FALSE,TRUE,
14,OR,OR-16,16,2021,43.14764564,-123.297229,0,0,FALSE,FALSE,TRUE,
15,OR,OR-16,48,2022,45.28755762,-122.729316,3,0,TRUE,FALSE,FALSE,
16,OR,OR-17,17,2021,44.27848427,-122.4429903,0,0,FALSE,FALSE,TRUE,
17,OR,OR-17,49,2022,43.86567854,-122.8304517,0,0,FALSE,FALSE,TRUE,
18,OR,OR-18,18,2021,45.49888122,-122.3631235,0,0,FALSE,FALSE,TRUE,
19,OR,OR-18,50,2022,44.26512353,-123.2229474,0,0,FALSE,FALSE,TRUE,
20,OR,OR-19,19,2021,45.279377,-122.2061056,36,18,FALSE,FALSE,TRUE,Note: the positives were sampled differently and thus are excluded
21,OR,OR-19,51,2022,45.10046898,-122.907906,9,0,TRUE,FALSE,FALSE,
22,OR,OR-2,2,2021,42.27740907,-122.576367,0,0,FALSE,FALSE,TRUE,
23,OR,OR-2,34,2022,44.58690165,-122.6683752,18,0,TRUE,FALSE,FALSE,
24,OR,OR-20,20,2021,45.10408921,-122.4439617,0,0,FALSE,FALSE,TRUE,
25,OR,OR-20,52,2022,44.24305648,-120.9171682,0,0,FALSE,FALSE,TRUE,
26,OR,OR-21,21,2021,45.09284524,-122.3254618,18,0,TRUE,FALSE,FALSE,
27,OR,OR-21,53,2022,44.23519449,-120.9437786,0,0,FALSE,FALSE,TRUE,
28,OR,OR-22,22,2021,44.25480063,-120.9833481,0,0,FALSE,FALSE,TRUE,
29,OR,OR-22,54,2022,45.7290844,-119.846931,0,0,FALSE,FALSE,TRUE,
30,OR,OR-23,23,2021,44.12441273,-121.2346804,0,0,FALSE,FALSE,TRUE,
31,OR,OR-23,55,2022,45.71210879,-119.8622326,0,0,FALSE,FALSE,TRUE,
32,OR,OR-24,24,2021,45.86915911,-119.537079,0,0,FALSE,FALSE,TRUE,
33,OR,OR-24,56,2022,45.71937978,-119.8683534,0,0,FALSE,FALSE,TRUE,
34,OR,OR-25,25,2021,45.88965916,-119.5586486,0,0,FALSE,FALSE,TRUE,
35,OR,OR-26,26,2021,45.87183312,-119.5386637,0,0,FALSE,FALSE,TRUE,
36,OR,OR-27,27,2021,42.24876118,-122.7450708,0,0,FALSE,FALSE,TRUE,
37,OR,OR-28,28,2021,42.28842409,-123.0589163,0,0,FALSE,FALSE,TRUE,
38,OR,OR-29,29,2021,42.33730098,-122.9339407,0,0,FALSE,FALSE,TRUE,
39,OR,OR-3,3,2021,45.07073521,-122.4667628,0,0,FALSE,FALSE,TRUE,
40,OR,OR-3,35,2022,45.49953284,-122.3726749,0,0,FALSE,FALSE,TRUE,
41,OR,OR-30,30,2021,42.32262831,-122.9227845,0,0,FALSE,FALSE,TRUE,
42,OR,OR-31,31,2021,42.04485851,-123.6171204,0,0,FALSE,FALSE,TRUE,
43,OR,OR-32,32,2021,42.5550193,-123.1080778,0,0,FALSE,FALSE,TRUE,
44,OR,OR-4,4,2021,44.46842683,-123.1788283,32,18,FALSE,TRUE,FALSE,
45,OR,OR-4,36,2022,45.08551653,-122.8864404,8,2,FALSE,TRUE,FALSE,
46,OR,OR-5,5,2021,44.53682118,-123.1323292,9,1,FALSE,TRUE,FALSE,
47,OR,OR-5,37,2022,44.27384611,-122.4035506,18,2,FALSE,TRUE,FALSE,
48,OR,OR-6,6,2021,45.28039084,-122.7436363,5,1,FALSE,TRUE,FALSE,
49,OR,OR-6,38,2022,45.38306066,-122.4367344,18,0,TRUE,FALSE,FALSE,
50,OR,OR-7,7,2021,45.27711808,-122.7285904,1,0,TRUE,FALSE,FALSE,
51,OR,OR-7,39,2022,45.37634771,-122.4375276,0,0,FALSE,FALSE,TRUE,
52,OR,OR-8,8,2021,45.09932226,-122.9295269,19,3,FALSE,TRUE,FALSE,
53,OR,OR-8,40,2022,45.11706083,-123.0225028,14,4,FALSE,TRUE,FALSE,
54,OR,OR-9,9,2021,44.41951152,-123.1490027,1,0,TRUE,FALSE,FALSE,
55,OR,OR-9,41,2022,45.44811281,-122.2861968,0,0,FALSE,FALSE,TRUE,